anime_id,name,rating,genres,users_watched,users_rated,url
49893,Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon Desu,7.85,"Fantasy,Slice of Life",55836,19056,https://myanimelist.net/anime/49893/Kobayashi-san_Chi_no_Maid_Dragon_S__Nippon_no_Omotenashi_-_Attend_wa_Dragon_Desu
4280,Kara no Kyoukai Movie 4: Garan no Dou,7.85,"Action,Mystery,Supernatural,Suspense",199741,121457,https://myanimelist.net/anime/4280/Kara_no_Kyoukai_Movie_4__Garan_no_Dou
9734,K-On!!: Keikaku!,7.85,"Comedy,Slice of Life,CGDCT,Music,School",115312,65638,https://myanimelist.net/anime/9734/K-On__Keikaku
5680,K-On!,7.85,"Comedy,CGDCT,Music,School",958378,526470,https://myanimelist.net/anime/5680/K-On
39534,Jibaku Shounen Hanako-kun,7.85,"Comedy,Supernatural,School,Shounen",495361,242385,https://myanimelist.net/anime/39534/Jibaku_Shounen_Hanako-kun
249,InuYasha,7.85,"Action,Adventure,Comedy,Fantasy,Romance,Supernatural,Historical,Mythology,Time Travel,Shounen",719781,359130,https://myanimelist.net/anime/249/InuYasha
40046,Id:Invaded,7.85,"Mystery,Sci-Fi,Detective,Psychological",308783,132376,https://myanimelist.net/anime/40046/Id_Invaded
37029,Hoozuki no Reitetsu 2nd Season: Sono Ni,7.85,"Comedy,Fantasy,Supernatural,Mythology,Seinen",26095,10655,https://myanimelist.net/anime/37029/Hoozuki_no_Reitetsu_2nd_Season__Sono_Ni
29093,Grisaia no Meikyuu: Caprice no Mayu 0,7.85,Drama,211945,127879,https://myanimelist.net/anime/29093/Grisaia_no_Meikyuu__Caprice_no_Mayu_0
23289,Gekkan Shoujo Nozaki-kun,7.85,"Comedy,Romance,Otaku Culture,School",848436,468546,https://myanimelist.net/anime/23289/Gekkan_Shoujo_Nozaki-kun
38770,Detective Conan Movie 23: The Fist of Blue Sapphire,7.85,"Action,Comedy,Drama,Mystery,Detective,Shounen",24037,12737,https://myanimelist.net/anime/38770/Detective_Conan_Movie_23__The_Fist_of_Blue_Sapphire
779,Detective Conan Movie 01: The Timed Skyscraper,7.85,"Adventure,Comedy,Mystery,Detective,Shounen",64940,40841,https://myanimelist.net/anime/779/Detective_Conan_Movie_01__The_Timed_Skyscraper
46352,Blue Period,7.85,"Drama,Slice of Life,School,Visual Arts,Seinen",355283,148942,https://myanimelist.net/anime/46352/Blue_Period
34021,Lupin the IIIrd: Chikemuri no Ishikawa Goemon,7.86,"Action,Adventure,Drama,Adult Cast,Seinen",34767,14013,https://myanimelist.net/anime/34021/Lupin_the_IIIrd__Chikemuri_no_Ishikawa_Goemon
30745,Kyoukai no Kanata Movie: I'll Be Here - Kako-hen - Yakusoku no Kizuna,7.86,Music,56662,24343,https://myanimelist.net/anime/30745/Kyoukai_no_Kanata_Movie__Ill_Be_Here_-_Kako-hen_-_Yakusoku_no_Kizuna
429,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,7.86,"Comedy,Drama,Shoujo",13544,6601,https://myanimelist.net/anime/429/Kaleido_Star__Legend_of_Phoenix_-_Layla_Hamilton_Monogatari
24471,Hoozuki no Reitetsu OVA,7.86,"Comedy,Fantasy,Supernatural,Mythology,Seinen",16210,7019,https://myanimelist.net/anime/24471/Hoozuki_no_Reitetsu_OVA
14175,Hanasaku Iroha Movie: Home Sweet Home,7.86,"Drama,Workplace",82758,32800,https://myanimelist.net/anime/14175/Hanasaku_Iroha_Movie__Home_Sweet_Home
36028,Golden Kamuy,7.86,"Action,Adventure,Historical,Seinen",312950,132243,https://myanimelist.net/anime/36028/Golden_Kamuy
8408,Durarara!! Specials,7.86,"Action,Comedy,Supernatural",161364,90689,https://myanimelist.net/anime/8408/Durarara_Specials
37150,Douluo Dalu,7.86,"Action,Adventure,Fantasy,Romance,Historical,Martial Arts,Reincarnation",22752,9204,https://myanimelist.net/anime/37150/Douluo_Dalu
15039,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,7.86,"Drama,Slice of Life,Supernatural",272515,131233,https://myanimelist.net/anime/15039/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai_Movie
23225,Yuru Yuri Nachuyachumi!,7.86,"Comedy,Girls Love,CGDCT,Gag Humor",68198,36333,https://myanimelist.net/anime/23225/Yuru_Yuri_Nachuyachumi
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),7.86,"Drama,Psychological,School",959074,606255,https://myanimelist.net/anime/35507/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_TV
41923,Yi Nian Yong Heng,7.86,"Action,Comedy,Fantasy,Historical,Martial Arts",9535,2508,https://myanimelist.net/anime/41923/Yi_Nian_Yong_Heng
